Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters values,Accuracy,TPR,FPR,Precision,AUC ROC,AUC PR,Hyper-Parameters Evaluation Time (min),Training Time (min),Inference Time for 1000 Instances (sec)
oocytes_merluccius_states_2f,InceptionV3,0,"[15, 64, 'Adam', 0.00074]",0.774,0.774,0.201467,0.774,0.762948,0.744827,86.42,6.42,6.05
oocytes_merluccius_states_2f,InceptionV3,1,"[15, 32, 'Adam', 0.00374]",0.769,0.769,0.201654,0.769,0.753279,0.739926,84.25,6.89,6.24
oocytes_merluccius_states_2f,InceptionV3,2,"[12, 96, 'Adam', 0.00037]",0.772,0.772,0.200178,0.772,0.768593,0.766329,86.36,6.73,7.01
oocytes_merluccius_states_2f,InceptionV3,3,"[15, 64, 'Adam', 0.00052]",0.775,0.775,0.203375,0.775,0.767032,0.758937,88.42,7.32,6.743
oocytes_merluccius_states_2f,InceptionV3,4,"[18, 32, 'Adam', 0.00083]",0.772,0.772,0.192854,0.772,0.76853,0.753923,85.68,5.37,5.31
ozone,InceptionV3,0,"[15, 64, 'Adam', 0.0016]",0.981,0.981,0.011573,0.981,0.980373,0.973594,60.42,6.52,14.562
ozone,InceptionV3,1,"[18, 64, 'Adam', 0.00097]",0.982,0.982,0.002482,0.982,0.980362,0.979953,62.45,6.38,12.576
ozone,InceptionV3,2,"[12, 64, 'Adam', 0.00099]",0.985,0.985,0.001483,0.985,0.979337,0.970427,60.62,5.73,13.129
ozone,InceptionV3,3,"[21, 96, 'Adam', 0.00138]",0.979,0.979,0.000184,0.979,0.978363,0.978024,58.94,5.14,10.946
ozone,InceptionV3,4,"[18, 96, 'Adam', 0.0019]",0.979,0.979,0.000382,0.979,0.977307,0.974583,57.89,4.85,11.633
plant-margin,InceptionV3,0,"[15, 32, 'Adam', 0.00162]",0.372,0.372,0.560283,0.372,0.370462,0.370174,61.35,6.53,11.35
plant-margin,InceptionV3,1,"[15, 32, 'Adam', 0.00076]",0.398,0.398,0.542957,0.398,0.395734,0.394037,59.56,5.73,10.633
plant-margin,InceptionV3,2,"[9, 32, 'Adam', 0.00179]",0.368,0.368,0.552901,0.368,0.359052,0.349562,59.74,5.27,9.368
plant-margin,InceptionV3,3,"[18, 96, 'Adam', 0.0015]",0.371,0.371,0.532109,0.371,0.370183,0.358479,61.36,5.21,8.642
plant-margin,InceptionV3,4,"[21, 32, 'Adam', 0.0004]",0.383,0.383,0.512432,0.383,0.378361,0.360402,58.78,6.28,10.875
plant-shape,InceptionV3,0,"[9, 64, 'Adam', 0.00048]",0.372,0.372,0.530581,0.372,0.375481,0.372004,62.14,6.53,10.454
plant-shape,InceptionV3,1,"[12, 32, 'Adam', 0.00033]",0.375,0.375,0.502827,0.375,0.478543,0.374031,56.89,5.46,10.424
plant-shape,InceptionV3,2,"[21, 96, 'Adam', 0.00056]",0.377,0.377,0.528492,0.377,0.374287,0.372348,64.31,5.48,11.146
plant-shape,InceptionV3,3,"[21, 64, 'Adam', 0.00055]",0.372,0.372,0.600382,0.372,0.369593,0.354523,52.45,4.88,10.112
plant-shape,InceptionV3,4,"[12, 64, 'Adam', 0.00062]",0.376,0.376,0.601382,0.376,0.371592,0.370992,61.24,6.52,8.635
plant-texture,InceptionV3,0,"[12, 64, 'Adam', 0.0011]",0.388,0.388,0.512048,0.388,0.384361,0.383372,60.75,6.32,9.64
plant-texture,InceptionV3,1,"[18, 128, 'Adam', 0.00112]",0.399,0.399,0.501234,0.399,0.394985,0.391371,61.25,5.89,11.36
plant-texture,InceptionV3,2,"[12, 64, 'Adam', 0.00147]",0.412,0.412,0.520348,0.412,0.389376,0.378673,59.74,5.63,10.74
plant-texture,InceptionV3,3,"[12, 96, 'Adam', 0.0016]",0.392,0.392,0.510384,0.392,0.390385,0.390372,62.45,6.31,11.47
plant-texture,InceptionV3,4,"[18, 96, 'Adam', 0.00167]",0.397,0.397,0.600358,0.397,0.396849,0.391479,58.97,7.36,13.67
statlog-australian-credit,InceptionV3,0,"[15, 64, 'Adam', 0.00182]",0.673,0.673,0.305839,0.673,0.671852,0.669841,50.75,7.03,6.327
statlog-australian-credit,InceptionV3,1,"[12, 96, 'Adam', 0.00135]",0.681,0.681,0.301284,0.681,0.676734,0.673392,53.57,6.53,5.636
statlog-australian-credit,InceptionV3,2,"[15, 64, 'Adam', 0.00069]",0.676,0.676,0.275937,0.676,0.671349,0.669583,59.46,4.78,4.865
statlog-australian-credit,InceptionV3,3,"[12, 128, 'Adam', 0.00073]",0.679,0.679,0.219403,0.679,0.675288,0.670034,52.16,4.27,4.678
statlog-australian-credit,InceptionV3,4,"[15, 64, 'Adam', 0.00086]",0.678,0.678,0.260381,0.678,0.673572,0.676585,56.84,5.68,3.169
statlog-german-credit,InceptionV3,0,"[9, 32, 'Adam', 0.00178]",0.781,0.781,0.200184,0.781,0.780362,0.779578,59.63,6.74,7.536
statlog-german-credit,InceptionV3,1,"[15, 128, 'Adam', 0.00163]",0.772,0.772,0.201839,0.772,0.770463,0.769473,61.26,6.21,8.093
statlog-german-credit,InceptionV3,2,"[9, 96, 'Adam', 0.00172]",0.762,0.762,0.194583,0.762,0.75837,0.752497,62.57,7.31,7.692
statlog-german-credit,InceptionV3,3,"[18, 160, 'Adam', 0.00184]",0.758,0.758,0.205733,0.758,0.749032,0.741175,60.97,5.48,6.432
statlog-german-credit,InceptionV3,4,"[9, 32, 'Adam', 0.00135]",0.772,0.772,0.204764,0.772,0.767354,0.758964,58.64,7.31,8.538
statlog-image,InceptionV3,0,"[15, 32, 'Adam', 0.00072]",0.721,0.721,0.185435,0.721,0.715479,0.712498,58.64,9.89,7.532
statlog-image,InceptionV3,1,"[15, 32, 'Adam', 0.00066]",0.728,0.728,0.205938,0.728,0.713572,0.710433,5134,7.23,6.467
statlog-image,InceptionV3,2,"[12, 96, 'Adam', 0.00089]",0.724,0.724,0.218637,0.724,0.718394,0.708562,56.77,7.42,5.327
statlog-image,InceptionV3,3,"[15, 64, 'Adam', 0.00054]",0.699,0.699,0.201478,0.699,0.697337,0.693264,60.63,5.86,7.211
statlog-image,InceptionV3,4,"[18, 64, 'Adam', 0.00063]",0.719,0.719,0.200424,0.719,0.704738,0.701269,62.23,6.99,6.742
waveform-noise,InceptionV3,0,"[18, 32, 'Adam', 0.00158]",0.614,0.614,0.204839,0.614,0.613487,0.609584,92.46,10.43,9.643
waveform-noise,InceptionV3,1,"[18, 96, 'Adam', 0.00097]",0.606,0.606,0.268493,0.606,0.604578,0.602758,91.35,9.56,11.245
waveform-noise,InceptionV3,2,"[12, 64, 'Adam', 0.00105]",0.618,0.618,0.300584,0.618,0.616942,0.612384,89.73,9.25,12.542
waveform-noise,InceptionV3,3,"[21, 96, 'Adam', 0.00084]",0.623,0.623,0.299483,0.623,0.620478,0.611649,85.79,10.32,14.469
waveform-noise,InceptionV3,4,"[21, 128, 'Adam', 0.00412]",0.609,0.609,0.473821,0.609,0.603731,0.600482,90.53,10.36,11.789
waveform,InceptionV3,0,"[15, 32, 'Adam', 0.00117]",0.787,0.787,0.16482,0.787,0.77483,0.764859,79.85,8.94,6.439
waveform,InceptionV3,1,"[15, 32, 'Adam', 0.00102]",0.764,0.764,0.170037,0.764,0.762336,0.761949,78.89,7.24,8.644
waveform,InceptionV3,2,"[9, 32, 'Adam', 0.00094]",0.785,0.785,0.200478,0.785,0.779401,0.739574,76.43,6.36,7.376
waveform,InceptionV3,3,"[18, 96, 'Adam', 0.0082]",0.778,0.778,0.138475,0.778,0.774567,0.756937,77.35,5.88,7.035
waveform,InceptionV3,4,"[21, 32, 'Adam', 0.00027]",0.781,0.781,0.174373,0.781,0.769402,0.765393,75.36,4.86,6.865
wine-quality-red,InceptionV3,0,"[9, 32, 'Adam', 0.00061]",0.615,0.615,0.302748,0.615,0.612483,0.612147,60.43,5.08,5.25
wine-quality-red,InceptionV3,1,"[12, 64, 'Adam', 0.00039]",0.618,0.618,0.294724,0.618,0.610389,0.590297,59.32,4.57,4.26
wine-quality-red,InceptionV3,2,"[18, 96, 'Adam', 0.00052]",0.621,0.621,0.275947,0.621,0.618494,0.612498,58.77,3.86,4.59
wine-quality-red,InceptionV3,3,"[21, 32, 'Adam', 0.00048]",0.619,0.619,0.281467,0.619,0.617432,0.609489,58.9,4.57,4.83
wine-quality-red,InceptionV3,4,"[12, 32, 'Adam', 0.00061]",0.618,0.618,0.300288,0.618,0.608347,0.607536,60.21,5.25,5.36
wine-quality-white,InceptionV3,0,"[12, 64, 'Adam', 0.0011]",0.655,0.655,0.204733,0.655,0.635734,0.632472,62.24,5.03,4.31
wine-quality-white,InceptionV3,1,"[18, 128, 'Adam', 0.00112]",0.645,0.645,0.250473,0.645,0.638296,0.631441,61.94,4.32,4.67
wine-quality-white,InceptionV3,2,"[15, 96, 'Adam', 0.00138]",0.662,0.662,0.201848,0.662,0.633697,0.6294637,58.86,3.78,5.21
wine-quality-white,InceptionV3,3,"[12, 96, 'Adam', 0.0018]",0.648,0.648,0.300247,0.648,0.637486,0.633956,58.21,3.96,5.47
wine-quality-white,InceptionV3,4,"[18, 64, 'Adam', 0.00171]",0.654,0.654,0.213849,0.654,0.658903,0.649278,59.42,4.87,4.23
